項次,補助縣市,申請補(捐)助單位,核准日期,活動名稱,活動時間(起),活動時間(迄),活動地點,核准補助金額(千元),核准理由(預期效益),核准補助金額(元)
59,南投縣仁愛鄉,南投縣仁愛鄉松林社區發展協會,2017/1/1,南投縣仁愛鄉親愛村106年度村校聯合動大會,2017/1/1,2017/1/1,南投縣仁愛鄉親愛國小萬大分校,15,促進與地方和諧關係,15000
39,臺北市中正區,秘書處,2017/1/1,106/1/1~1/11認養羅斯福路、新生南路口人行地下道清潔維護費。,2017/1/1,2017/1/11,臺北市,4.865,敦親睦鄰提升企業形象,4865
77,臺北市中正區,秘書處,2017/1/1,106/1/1~1/11 認養羅斯福路、新生南路口人行地下道清潔高空作業_採光罩清洗費。,2017/1/1,2017/1/11,臺北市,4.277,敦親睦鄰提升企業形象,4277
230,高雄市,高雄市茄萣婦女工作協會,2017/1/3,協助高雄市茄萣婦女工作協會辦理106年兒童社區課後照顧計畫,2017/1/4,######,高雄市茄萣區,60,配合宣導電力發展營運，提升台電企業形象,60000
25,高雄市彌陀區,高雄市彌陀區農會,2017/1/3,辦理106年新春歲末聯歡聯誼活動,2017/1/17,2017/1/17,彌陀區漁港路上好現撈活海產店,30,敦親睦鄰提升企業形象,30000
52,高雄市彌陀區,高雄市彌陀區海之鄉關懷協會,2017/1/3,辦理參訪弱勢團體暨節約能源宣導活動,2017/1/7,2017/1/8,中部、南部,30,敦親睦鄰提升企業形象,30000
79,高雄市永安區,高雄市永安新港老人長壽協進會,2017/1/3,辦理106年度迎新敬慰老人活動,2017/1/20,2017/1/20,新港社區活動中心一樓,30,敦親睦鄰提升企業形象,30000
74,基隆市仁愛區,台灣電力公司基隆區營業處,2017/1/3,立法委員蔡適應建請基隆區處配電中心出入口設置反光鏡乙案,2017/1/18,2017/1/18,基隆區處配電中心大門口正對面道路側邊,20,促進與地方和諧關係,20000
225,苗栗縣,苗栗縣毅學書畫學會,2017/1/3,協助苗栗縣毅學書畫學會辦理106年春聯揮毫贈送活動,2017/1/8,2017/1/8,苗栗縣通霄鎮,30,配合宣導電力發展營運，提昇文教品質,30000
47,臺中市龍井區,王貝珊,2017/1/3,發放急難救助金,2017/1/3,2017/1/3,龍井區,10,加強地方關係、促進電源開發及節約用電,10000
80,桃園市新屋區,大潭發電廠,2017/1/3,贊助桃園市新屋區永興里辦公處辦理「智慧節電暨節能減碳宣導活動」,2017/1/10,2017/1/10,桃園市新屋區永安里中山西路三段960號,13,加強地方關係、促進電源開發及節約用電,13000
219,高雄市,高雄市岡山區農會,2017/1/4,協助高雄市岡山區農會辦理106年度岡山區各界慶祝農民節大會暨能源建設宣導活動計畫,2017/1/23,2017/1/23,高雄市岡山區,100,配合宣導電力發展營運，維護傳統習俗,100000
224,高雄市,高雄市沿海敬老協會,2017/1/4,協助高雄市沿海敬老協會辦理「參訪國家經濟建設暨宣導支持大林電廠更新改建計畫活動,2017/1/14,2017/1/15,大林發電廠,80,配合宣導電力發展營運，提升台電企業形象,80000
226,高雄市,南部發電廠,2017/1/4,協助南部發電廠辦理105年度歲末睦鄰暨電力宣導活動,2017/1/13,2017/1/13,高雄市前鎮區,80,配合宣導電力發展營運，提升台電企業形象,80000
135,高雄市茄萣區,正順廟,2017/1/4,辦理106年元宵節慶典活動暨節約能源宣導,2017/2/11,2017/2/11,正順廟,30,敦親睦鄰提升企業形象,30000
164,高雄市彌陀區,高雄市彌陀區漁會,2017/1/4,辦理漁民祈福法會活動,2017/1/13,2017/1/13,彌陀漁港北側,30,敦親睦鄰提升企業形象,30000
