民意代表姓名	民意代表親屬姓名	B欄為A欄之親屬關係			資料來源
孔文吉	陳秋月	配偶			
尤美女	黃瑞明	配偶			
王定宇	李淑吟	配偶			
王育敏	楊明哲	配偶			
王金平	王陳彩蓮	配偶			
王惠美	周明亞	配偶			
王榮璋	周文珍	配偶			
江永昌	吳淑靜	配偶			
江啟臣	劉姿伶	配偶			
何欣純	謝俊雄	配偶			
余宛如	徐文彥	配偶			
吳玉琴	黃志誠	配偶			
吳志揚	洪秀華	配偶			
吳秉叡	詹文馨	配偶			
吳思瑤	N/A	配偶			
吳焜裕	江素瑛	配偶			
吳琪銘	許素珍	配偶			
呂玉玲	陳萬得	配偶			
呂孫綾	N/A	配偶			
李昆澤	廖翊百	配偶			
李俊俋	陳佳慧	配偶			
李彥秀	侯冠群	配偶			
李應元	黃月桂	配偶			
李鴻鈞	劉素幸	配偶			
李麗芬	何宜澤	配偶			
谷辣斯．尤達卡Kolas．Yotaka	N/A	配偶			
邱志偉	安田陽子	配偶			
邱泰源	蔡德慧	配偶			
邱議瑩	李永得	配偶			
周春米	邱明宏	配偶			
周陳秀霞	周五六	配偶			
林岱樺	N/A	配偶			
林俊憲	李佳恩	配偶			
林昶佐	葉湘怡	配偶			
林為洲	郭慶珠	配偶			
林淑芬	邱若山	配偶			
林德福	曾月桂	配偶			
林靜儀	N/A	配偶			
林麗蟬	謝水金	配偶			
姚文智	潘瓊琪	配偶			
施義芳	鄭美香	配偶			
柯志恩	洪德成	配偶			
柯建銘	林道春	配偶			
段宜康	陳麗雯	配偶			
洪宗熠	邱于真	配偶			
洪慈庸	卓冠廷	配偶			
徐永明	廖庭慧	配偶			
徐志榮	王慧珍	配偶			
徐國勇	張錫月	配偶			
徐榛蔚	傅崐萁	配偶			
莊瑞雄	N/A	配偶			
郭正亮	文馨瑩	配偶			
陳其邁	吳虹	配偶			
陳宜民	N/A	配偶			
陳怡潔	N/A	配偶			
陳明文	廖素慧	配偶			
陳亭妃	N/A	配偶			
陳素月	N/A	配偶			
陳曼麗	N/A	配偶			
陳雪生	陳秀蘭	配偶			
陳超明	吳麗利	配偶			
陳歐珀	徐慧諭	配偶			
陳瑩	N/A	配偶			
陳學聖	梁寒衣	配偶			
陳賴素美	陳奕瑄	配偶			
